index,life_cycle_assessment,passive_design,ubem,parametric_design,hvac_optimization,district_energy_system,measurement_and_verification,retro-commissioning,energy_audit,model_predictive_control,demand_response,energy_benchmarking,fault_detection_and_diagnosis,om,demand_controlled_ventilation,renewable_energy,retrofit_analysis
energy_simulation,0.3550857901573181,0.2661104202270508,0.3322787284851074,0.2802079916000366,0.05625201016664505,0.08699280023574829,0.17775659263134003,0.10589277744293213,0.31292110681533813,0.29951241612434387,0.18746286630630493,0.18877066671848297,0.2967927157878876,0.052468426525592804,0.1186918318271637,0.17351722717285156,0.3490307927131653
optimization,0.27033793926239014,0.2809201776981354,0.1044377014040947,0.22101256251335144,,0.10685604810714722,0.08531121909618378,0.0721270889043808,0.17503520846366882,0.4143329858779907,0.3580448627471924,0.08214795589447021,0.29392045736312866,0.07841320335865021,0.14267215132713318,0.31552666425704956,0.33646148443222046
multi-objective_optimization,0.33336585760116577,0.2957969307899475,0.14812983572483063,0.24166443943977356,,0.06566714495420456,,,0.15194013714790344,0.3651297092437744,0.250173956155777,,0.20021265745162964,0.10269126296043396,0.11998546868562698,0.19107669591903687,0.2512303292751312
data_collection,0.22508668899536133,,0.1575939953327179,,,,0.15194137394428253,0.09256333857774734,0.3283863067626953,0.10382948070764542,0.1921723484992981,0.09571108222007751,0.22483931481838226,,0.07965078949928284,0.1333235651254654,0.21927979588508606
measurement,0.1494961380958557,,,,,,0.09216650575399399,,0.14807677268981934,0.11856763064861298,0.10841552168130875,,0.2377513349056244,0.0533401295542717,0.07286574691534042,0.11549220234155655,0.1243162751197815
neural_networks,0.17108377814292908,0.08669527620077133,0.19254416227340698,0.1805880218744278,0.09443407505750656,,0.12047898769378662,0.10257822275161743,0.10569222271442413,0.4025067687034607,0.1573455035686493,0.139981210231781,0.4244493842124939,0.05979010462760925,0.10998823493719101,0.14789220690727234,0.18547943234443665
reinforcement_learning,0.07792732119560242,0.12285298109054565,0.13822779059410095,0.12748879194259644,0.17503072321414948,,0.09048223495483398,0.061858881264925,,0.4022458791732788,0.2537303566932678,0.15277916193008423,0.20481741428375244,0.11987340450286865,0.19376906752586365,0.12568390369415283,0.10739778727293015
validation,0.18364587426185608,0.11037127673625946,0.14552700519561768,0.061709776520729065,,,0.1345365345478058,0.12367015331983566,0.21550756692886353,0.2205365151166916,0.1170516088604927,0.12664587795734406,0.3302200138568878,,0.1388452649116516,0.10242092609405518,0.2200821042060852
feature_extraction,0.09308096021413803,0.13406825065612793,0.10124646127223969,0.0899956226348877,,,,0.13198883831501007,0.16349804401397705,0.17404237389564514,0.16789422929286957,0.16450990736484528,0.4435884952545166,0.11353965103626251,0.1418725550174713,,0.19509579241275787
anomaly_detection,0.08665494620800018,,0.10292281955480576,0.056859347969293594,,,0.1866832673549652,0.1376366913318634,0.18495047092437744,0.1274470090866089,0.22654514014720917,0.21511313319206238,0.45419779419898987,,,0.06362692266702652,0.15722191333770752
clustering,0.1439366340637207,0.0686340183019638,0.0764639750123024,,,,,0.08308355510234833,0.12047615647315979,0.15633650124073029,0.1997062861919403,0.22386088967323303,0.31875693798065186,0.1179838627576828,,0.07230427861213684,0.16949957609176636
dimensionality_reduction,,0.16028256714344025,,0.11665665358304977,,0.058288656175136566,0.05730767920613289,0.15531480312347412,0.08832567185163498,0.19882452487945557,0.14915092289447784,0.21849656105041504,0.29262834787368774,,0.055345844477415085,,0.14292769134044647
segmentation,0.12370231747627258,,0.06350623816251755,,,,,,,0.10893653333187103,0.11437039077281952,0.13519781827926636,0.22576013207435608,,,,0.07719844579696655
classification,0.2039525806903839,0.12042488902807236,,,,,,,0.21605390310287476,0.1570974886417389,0.14005956053733826,0.13732784986495972,0.38082176446914673,0.16077116131782532,0.08238080143928528,0.1497378945350647,0.1030370444059372
statistical_analysis,0.26141440868377686,0.1616162359714508,0.28275373578071594,0.10236719250679016,,0.07265112549066544,0.12897659838199615,0.14063192903995514,0.1892273724079132,0.2382478415966034,0.13138732314109802,0.27957892417907715,0.38879454135894775,,0.08291077613830566,0.14615699648857117,0.19346457719802856
regression,0.17833983898162842,0.13835805654525757,0.1365608274936676,0.11329781264066696,,0.10198482125997543,0.08337835967540741,0.10167639702558517,0.24842329323291779,0.1832558959722519,0.09040681272745132,0.2741376757621765,0.2510327994823456,,0.07965739071369171,0.06565438210964203,0.21061503887176514
correlation,0.08717341721057892,0.09432728588581085,,,,,,,0.0586605928838253,,,,0.14716564118862152,0.05550093948841095,,0.0791609063744545,0.11841653287410736
data_visualization,0.19014529883861542,0.06359612941741943,0.17438167333602905,0.18187054991722107,0.10275831818580627,0.08263519406318665,0.10637077689170837,,0.12785309553146362,0.0966646745800972,0.20032089948654175,0.19661584496498108,0.22124120593070984,0.06252192705869675,0.06447339802980423,0.06660674512386322,0.15175431966781616
factor_analysis,0.06766694039106369,0.13902288675308228,,0.1158093512058258,0.09305213391780853,,,,0.12070529162883759,,,0.07841752469539642,0.08530726283788681,0.08723635971546173,0.10144661366939545,0.056874215602874756,0.09066268801689148
generative_adversarial_networks,,,0.09615632891654968,,0.11687103658914566,,0.13105618953704834,,0.06166189908981323,,,,0.17332087457180023,,0.0734064131975174,,
