index,measurement_and_verification,retro-commissioning,ubem,retrofit_analysis,energy_audit,energy_benchmarking,om,hvac_optimization,district_energy_system,parametric_design,life_cycle_assessment,passive_design,demand_response,renewable_energy,demand_controlled_ventilation,model_predictive_control,fault_detection_and_diagnosis
energy_simulation,0.17775659263134005,0.10589277744293213,0.3322787284851074,0.3490307927131653,0.3129211068153381,0.18877066671848294,0.0524684265255928,0.05625201016664505,0.08699280023574829,0.2802079916000366,0.3550857901573181,0.2661104202270508,0.18746286630630493,0.17351722717285156,0.1186918318271637,0.2995124161243439,0.2967927157878876
optimization,0.08531121909618378,0.0721270889043808,0.1044377014040947,0.3364614844322205,0.17503520846366882,0.08214795589447021,0.07841320335865021,,0.10685604810714723,0.22101256251335144,0.2703379392623901,0.2809201776981354,0.3580448627471924,0.3155266642570496,0.14267215132713318,0.4143329858779907,0.29392045736312866
multi-objective_optimization,,,0.14812983572483066,0.2512303292751312,0.15194013714790344,,0.10269126296043396,,0.06566714495420456,0.2416644394397736,0.33336585760116577,0.2957969307899475,0.250173956155777,0.19107669591903687,0.11998546868562697,0.3651297092437744,0.20021265745162964
data_collection,0.15194137394428253,0.09256333857774733,0.1575939953327179,0.2192797958850861,0.3283863067626953,0.09571108222007753,,,,,0.22508668899536133,,0.1921723484992981,0.1333235651254654,0.07965078949928284,0.10382948070764543,0.22483931481838226
measurement,0.092166505753994,,,0.1243162751197815,0.14807677268981936,,0.0533401295542717,,,,0.1494961380958557,,0.10841552168130876,0.11549220234155655,0.07286574691534042,0.11856763064861298,0.2377513349056244
neural_networks,0.12047898769378662,0.10257822275161743,0.19254416227340695,0.18547943234443665,0.10569222271442412,0.139981210231781,0.05979010462760925,0.09443407505750656,,0.1805880218744278,0.17108377814292908,0.08669527620077133,0.1573455035686493,0.14789220690727234,0.109988234937191,0.4025067687034607,0.4244493842124939
reinforcement_learning,0.09048223495483397,0.061858881264925,0.13822779059410095,0.10739778727293016,,0.15277916193008426,0.11987340450286865,0.17503072321414948,,0.12748879194259646,0.07792732119560243,0.12285298109054565,0.2537303566932678,0.12568390369415286,0.19376906752586365,0.4022458791732788,0.20481741428375244
validation,0.1345365345478058,0.12367015331983565,0.14552700519561768,0.2200821042060852,0.21550756692886355,0.12664587795734406,,,,0.061709776520729065,0.18364587426185608,0.11037127673625946,0.1170516088604927,0.10242092609405518,0.1388452649116516,0.2205365151166916,0.3302200138568878
feature_extraction,,0.13198883831501007,0.10124646127223967,0.19509579241275787,0.16349804401397705,0.16450990736484528,0.11353965103626253,,,0.0899956226348877,0.09308096021413803,0.13406825065612793,0.16789422929286954,,0.1418725550174713,0.17404237389564514,0.4435884952545166
anomaly_detection,0.1866832673549652,0.1376366913318634,0.10292281955480576,0.15722191333770752,0.18495047092437744,0.2151131331920624,,,,0.0568593479692936,0.08665494620800017,,0.2265451401472092,0.06362692266702652,,0.1274470090866089,0.4541977941989898
clustering,,0.08308355510234833,0.0764639750123024,0.16949957609176636,0.1204761564731598,0.22386088967323306,0.1179838627576828,,,,0.1439366340637207,0.0686340183019638,0.1997062861919403,0.07230427861213684,,0.15633650124073029,0.31875693798065186
dimensionality_reduction,0.05730767920613289,0.15531480312347412,,0.14292769134044647,0.08832567185163498,0.21849656105041504,,,0.05828865617513656,0.11665665358304975,,0.16028256714344025,0.14915092289447784,,0.055345844477415085,0.1988245248794556,0.2926283478736877
segmentation,,,0.06350623816251755,0.07719844579696655,,0.13519781827926636,,,,,0.12370231747627257,,0.11437039077281952,,,0.10893653333187103,0.2257601320743561
classification,,,,0.1030370444059372,0.2160539031028748,0.13732784986495972,0.16077116131782532,,,,0.2039525806903839,0.12042488902807234,0.14005956053733826,0.1497378945350647,0.08238080143928528,0.1570974886417389,0.3808217644691467
statistical_analysis,0.12897659838199615,0.14063192903995514,0.28275373578071594,0.19346457719802854,0.1892273724079132,0.27957892417907715,,,0.07265112549066544,0.10236719250679016,0.2614144086837769,0.1616162359714508,0.13138732314109802,0.14615699648857114,0.08291077613830566,0.2382478415966034,0.38879454135894775
regression,0.08337835967540741,0.10167639702558516,0.1365608274936676,0.21061503887176514,0.24842329323291776,0.2741376757621765,,,0.10198482125997543,0.11329781264066695,0.17833983898162842,0.13835805654525754,0.09040681272745132,0.06565438210964203,0.07965739071369171,0.1832558959722519,0.2510327994823456
correlation,,,,0.11841653287410735,0.0586605928838253,,0.05550093948841095,,,,0.08717341721057892,0.09432728588581084,,0.0791609063744545,,,0.14716564118862152
data_visualization,0.10637077689170836,,0.17438167333602905,0.15175431966781616,0.12785309553146362,0.19661584496498108,0.06252192705869675,0.10275831818580627,0.08263519406318665,0.18187054991722107,0.19014529883861545,0.06359612941741942,0.20032089948654172,0.06660674512386322,0.06447339802980423,0.0966646745800972,0.22124120593070984
factor_analysis,,,,0.09066268801689148,0.1207052916288376,0.07841752469539642,0.08723635971546173,0.09305213391780852,,0.1158093512058258,0.06766694039106369,0.13902288675308228,,0.05687421560287476,0.10144661366939543,,0.08530726283788681
generative_adversarial_networks,0.13105618953704834,,0.09615632891654967,,0.061661899089813225,,,0.11687103658914565,,,,,,,0.0734064131975174,,0.17332087457180026
