word	category
design-stage	phase
early_design_stage	phase
early_design_stages	phase
preliminary_design	phase
conceptual_design	phase
construction_stage	phase
construction_phase	phase
building_commissioning	phase
commissioning	phase
commissioned	phase
operation_and_maintenance	phase
building_operation	phase
operational	phase
building_retrofit	phase
energy_simulation	data_science
building_energy_simulation	data_science
optimization	data_science
optimize	data_science
optimizing	data_science
multi-objective_optimization	data_science
multi-objective	data_science
data_collection	data_science
measurement	data_science
neural_networks	data_science
deep_learning	data_science
reinforcement_learning	data_science
rl	data_science
deep_reinforcement_learning	data_science
validation	data_science
validate	data_science
feature_extraction	data_science
feature_selection	data_science
anomaly_detection	data_science
outlier_detection	data_science
clustering	data_science
clusters	data_science
dimensionality_reduction	data_science
dimension_reduction	data_science
segmentation	data_science
classification	data_science
classified	data_science
classes	data_science
statistical_analysis	data_science
statistical	data_science
statistical_methods	data_science
regression	data_science
regression_model	data_science
regression_analysis	data_science
regression_models	data_science
correlation	data_science
correlated	data_science
data_visualization	data_science
visualization	data_science
visualisation	data_science
dashboard	data_science
factor_analysis	data_science
efa	data_science
cfa	data_science
confirmatory	data_science
generative_adversarial_networks	data_science
generative_adversarial_network	data_science
baseline_models	data
ecm	data
ecms	data
air_speed	data
air_velocity	data
airflow	data
air_flow	data
wind_direction	data
prevailing	data
wind_speed	data
indoor_air_temperature	data
air_temperature	data
temperature	data
outdoor_air_temperature	data
outdoor_temperature	data
relative_humidity	data
humidity	data
time-step	data
heat_balance	data
energy_balance	data
heat_transfer	data
carbon_dioxide	data
site	data
location	data
weather_data	data
weather_file	data
weather_files	data
weather_station	data
dry_bulb_temperature	data
dry-bulb	data
dew_point	data
energy_consumption	data
building_energy_use	data
energy_consumption_data	data
schedule	data
schedules	data
scheduling	data
occupancy_schedule	data
occupancy_schedules	data
occupancy	data
occupancy_patterns	data
ahu	data
air_handling_unit	data
ahus	data
energy_price	data
electricity_price	data
electricity_prices	data
cost_savings	data
cost_saving	data
building_envelope	data
envelope	data
building_geometry	data
material_properties	data
thermal_properties	data
glazing	data
solar_heat_gain	data
shgc	data
shading_devices	data
shading	data
blinds	data
building_orientation	data
orientation	data
zone	data
zones	data
thermal_zones	data
surface	data
surfaces	data
thermal_mass	data
internal_mass	data
building_form	data
building_shape	data
passive_design_strategies	data
passive_strategies	energy_efficiency
natural_ventilation	data
cross_ventilation	data
internal_heat_gains	data
internal_gains	data
heat_gain	data
lights	data
lamps	data
lighting	data
artificial_lighting	data
equipment	data
appliances	data
daylighting	data
daylight	data
illuminance	data
mass_flow_rate	data
inlet_temperature	data
outlet_temperature	data
cooling_load	data
cooling_loads	data
cooling_energy	data
heating_load	data
heat_load	data
chilled_water	data
chilled_water_temperature	data
chiller	data
chillers	data
cop	data
coefficient_of_performance	data
hot_water	data
compressor_power	data
condenser_fan_power	data
condensing_temperature	data
fan_power	data
fan_power_consumption	data
fan_speed	data
set_point	data
set-point	data
set_points	data
water_temperature	data
heating_energy	data
heating_energy_consumption	data
heating_demand	data
heating_loads	data
cooling_demand	data
cooling_energy_consumption	data
variable_air_volume	data
vav	data
variable-air-volume	data
constant_air_volume	data
cav	data
static_pressure	data
differential_pressure	data
thermal_comfort	data
damper	data
dampers	data
air-to-air	data
air-to-water	data
heat_recovery	data
load_profile	data
load_scheduling	data
time-of-use	data
tou	data
household_appliances	data
energy_storage	data
smart_meters	data
smart_metering	data
post-occupancy_evaluation	data
post-occupancy	data
coefficient_of_variation	data
calibrated_model	data
electricity_pricing	data
utility_bills	data
energy_bills	data
cost_analysis	data
control_algorithms	data
pmv	data
predicted_mean_vote	data
thermal_comfort_index	data
ppd	data
thermal_sensation	data
operative_temperature	data
mean_radiant_temperature	data
clothing_insulation	data
ashrae_guideline_14	data
calibrated_simulation	data
occupant_behavior	data
occupant_behaviour	data
noise_level	data
eui	data
energy_intensity	data
historical_data	data
real-time	data
meter_readings	data
meter_reading	data
smart_meter_data	data
heating_degree_days	data
hdd	data
hdds	data
cooling_degree_days	data
cdd	data
cdds	data
performance_measurement_and_verification	data
ipmvp	data
life_cycle_assessment	energy_efficiency
lca	energy_efficiency
passive_design	energy_efficiency
passive_cooling	energy_efficiency
ubem	energy_efficiency
urban_building_energy_modeling	energy_efficiency
urban_building_energy_models	energy_efficiency
parametric_design	energy_efficiency
hvac_optimization	energy_efficiency
hvac_system_optimization	energy_efficiency
district_energy_system	energy_efficiency
measurement_and_verification	energy_efficiency
retro-commissioning	energy_efficiency
ongoing_commissioning	energy_efficiency
continuous_commissioning	energy_efficiency
energy_audit	energy_efficiency
model_predictive_control	energy_efficiency
demand_response	energy_efficiency
demand_side_management	energy_efficiency
load_management	energy_efficiency
energy_benchmarking	energy_efficiency
building_energy_benchmarking	energy_efficiency
fault_detection_and_diagnosis	energy_efficiency
fdd	energy_efficiency
fault_detection	energy_efficiency
om	energy_efficiency
demand_controlled_ventilation	energy_efficiency
dcv	energy_efficiency
demand-controlled_ventilation	energy_efficiency
renewable_energy	energy_efficiency
renewable_energy_sources	energy_efficiency
renewable_energies	energy_efficiency
retrofit_analysis	energy_efficiency
retrofit	energy_efficiency
